Date,action,close,proba,signal,net_ret
2015-09-24,BUY,16.134593963623047,0.6761689662296861,1,0.0
2016-09-23,SELL,17.281904220581055,0.40039519572410276,0,0.005813097056835394
2017-10-04,BUY,26.345184326171875,0.6488573439323433,1,-0.0012
2018-10-04,SELL,28.782625198364254,0.3721849795273242,0,0.005753406405101115
2019-10-07,BUY,25.8776969909668,0.5722090004002222,1,-0.0012
2020-10-08,SELL,22.97573471069336,0.45851756378130026,0,0.014447301253254531
2021-11-02,BUY,39.9409294128418,0.584179008213497,1,-0.0012
2022-11-03,SELL,34.412635803222656,0.4943435528442372,0,-0.012069717769347198
2023-11-06,BUY,24.02541160583496,0.6388807338979214,1,-0.0012
2024-11-06,SELL,46.94629287719727,0.4814072116931236,0,0.1430444592650489
