Date,action,close,proba,signal,net_ret
2007-10-26,BUY,296.9067687988281,0.5709685846892936,1,-0.0012
2008-10-28,SELL,98.6204833984375,0.3357360770477973,0,0.14202222727318556
2009-10-28,BUY,30.45422744750977,0.6124120859920269,1,-0.0012
2010-10-28,SELL,31.12599372863769,0.43734378622148046,0,-0.0012
2011-11-01,BUY,21.78434562683105,0.557266690651721,1,-0.0012
2012-11-02,SELL,28.12484359741211,0.40757433213858385,0,-0.010422740539434393
2013-11-07,BUY,36.196571350097656,0.5766566807201475,1,-0.0012
2014-11-07,SELL,40.27167510986328,0.47859713766493023,0,-0.005645442798731713
2015-11-09,BUY,41.86235046386719,0.5584948417653551,1,-0.0012
2016-11-08,SELL,37.8510856628418,0.5243242038692418,0,0.0006065449164634818
2017-11-08,BUY,55.65940475463867,0.5765182016792596,1,-0.0012
2018-11-08,SELL,53.306251525878906,0.5443669983549462,0,-0.008232038584866229
2019-12-17,BUY,62.87761306762695,0.5703669823995267,1,-0.0012
2020-12-16,SELL,50.27709197998047,0.5291299482454119,0,0.00014065815177297775
2021-12-31,BUY,52.36734771728516,0.5610226743262686,1,-0.0012
2023-01-04,SELL,42.35846710205078,0.5367801424805819,0,0.024575524392706695
2024-01-12,BUY,49.6561393737793,0.5656958457566885,1,-0.0012
2025-01-15,SELL,76.61122131347656,0.4004289576101283,0,0.06369792858102605
