Date,action,close,proba,signal,net_ret
2007-10-11,BUY,6.099602222442627,0.6003007983677097,1,-0.0012
2008-10-13,SELL,5.879809379577637,0.4626929819746683,0,0.05297980702407865
2009-10-13,BUY,6.237234115600586,0.6380221657340004,1,-0.0012
2010-10-13,SELL,8.0807523727417,0.5287132844327741,0,0.010089108864805275
2011-10-12,BUY,10.58261489868164,0.6777476666198573,1,-0.0012
2012-10-11,SELL,10.921257019042969,0.45243660308635003,0,0.0019006353157789769
2013-10-15,BUY,16.27614402770996,0.5626625594441382,1,-0.0012
2014-10-20,SELL,20.073081970214844,0.4849264402160185,0,0.024911442073970315
2015-10-20,BUY,26.165328979492188,0.6052541284498639,1,-0.0012
2016-10-19,SELL,30.54080581665039,0.43838279703975697,0,-0.00694873515656249
2017-10-19,BUY,25.045507431030277,0.6236896452664292,1,-0.0012
2018-10-19,SELL,35.02730941772461,0.23494410797618412,0,0.01829591005802742
2020-02-28,BUY,35.818050384521484,0.6771159222639169,1,-0.0012
2021-03-01,SELL,40.7011947631836,0.3070360709452658,0,-0.0018467488017348754
2022-03-11,BUY,45.29380798339844,0.598867289968502,1,-0.0012
2023-03-14,SELL,36.05298614501953,0.5349123333784446,0,-0.0017084665819645727
2024-06-21,BUY,29.229001998901367,0.5572575768720738,1,-0.0012
2025-06-25,SELL,29.556367874145508,0.33709763016795374,0,-0.019621017125699323
