Date,action,close,proba,signal,net_ret
2006-10-10,BUY,33.07366943359375,0.5617452098058408,1,0.0
2007-10-11,SELL,28.8128662109375,0.5278746995981183,0,-0.010228677228462678
2008-10-10,BUY,22.79659843444824,0.7085715940124482,1,-0.0012
2009-10-12,SELL,27.14633178710937,0.42699034993441226,0,-0.00571129796934957
2010-10-12,BUY,35.140438079833984,0.5523647791614057,1,-0.0012
2011-10-11,SELL,42.95777893066406,0.5332738085365364,0,-0.0088782702967918
2012-10-11,BUY,52.06197738647461,0.571210812999689,1,-0.0012
2013-10-15,SELL,70.40948486328125,0.5414117646927674,0,-0.004301079998530931
2014-10-16,BUY,70.21513366699219,0.6761342026273384,1,-0.0012
2015-10-16,SELL,75.12818145751953,0.4178989094199673,0,0.004605915799410366
2016-10-20,BUY,76.92178344726562,0.5841321604735926,1,-0.0012
2017-10-23,SELL,90.35103607177734,0.523172309045548,0,-0.0002827982496761627
2018-10-25,BUY,87.4886245727539,0.6485695343283016,1,-0.0012
2019-10-28,SELL,122.94993591308594,0.31098868841147653,0,-0.01627226695180064
2023-10-03,BUY,185.7772674560547,0.5602369323073877,1,-0.0012
2024-10-03,SELL,184.85720825195312,0.19613562150235417,0,-0.01371224089128522
