Date,action,close,proba,signal,net_ret
2007-10-18,BUY,10.119608879089355,0.5547889836331326,1,-0.0012
2008-10-21,SELL,9.55691623687744,0.5101324838808168,0,0.00109280605595239
2009-11-12,BUY,8.623435974121094,0.5969574551823202,1,-0.0012
2010-11-12,SELL,8.698063850402832,0.5043179409090173,0,0.013810627997818826
2011-12-22,BUY,9.314408302307127,0.6030714744008725,1,-0.0012
2012-12-26,SELL,10.27627182006836,0.5318826367831274,0,-0.010311743413835027
2014-01-06,BUY,15.52919101715088,0.5863090416474932,1,-0.0012
2015-01-07,SELL,26.41791343688965,0.549366060937333,0,0.029078855122980897
2016-01-25,BUY,30.13641166687012,0.666255935483836,1,-0.0012
2017-01-24,SELL,27.80736923217773,0.4993913463164287,0,-0.005375489405882415
2018-01-24,BUY,25.011341094970703,0.5809910914999671,1,-0.0012
2019-01-25,SELL,24.3083610534668,0.532816724529687,0,-0.021750139179433157
2020-01-28,BUY,25.066482543945312,0.575640694261745,1,-0.0012
2021-01-27,SELL,35.01848602294922,0.37928957306745037,0,0.044120084856449006
2022-03-01,BUY,44.78765487670898,0.8136527826214125,1,-0.0012
2023-03-02,SELL,43.248512268066406,0.5400207306316165,0,0.05297245326892495
2024-03-04,BUY,47.83522033691406,0.6091943177519512,1,-0.0012
2025-03-06,SELL,63.15145492553711,0.4762515430111724,0,0.018790357555994765
