Date,action,close,proba,signal,net_ret
2006-10-10,BUY,9.237800598144531,0.6859363395462108,1,0.0
2007-10-11,SELL,10.389153480529783,0.4590966262569009,0,0.011737721229351551
2008-10-10,BUY,6.563689708709717,0.7829729511038858,1,-0.0012
2009-10-13,SELL,7.771820545196533,0.4767686319683317,0,0.0006408308301176569
2010-10-13,BUY,10.76490592956543,0.5749732988454804,1,-0.0012
2011-10-14,SELL,12.701828002929688,0.46555686593996004,0,0.015090691342008224
2012-10-16,BUY,14.5494966506958,0.5555589800661198,1,-0.0012
2013-10-21,SELL,17.38875389099121,0.5477804155699023,0,0.0009492414723138787
2014-10-21,BUY,20.983179092407227,0.5607496816132213,1,-0.0012
2015-10-21,SELL,22.122150421142575,0.4836495961354635,0,-0.007408892743890692
2016-10-20,BUY,28.10065460205078,0.5962161903998576,1,-0.0012
2017-10-20,SELL,34.1093635559082,0.4543387617261896,0,-0.0007437196160397163
2018-11-23,BUY,35.559532165527344,0.6677821976933515,1,-0.0012
2019-11-25,SELL,43.93848419189453,0.1975435739513119,0,-0.013187348041569423
2020-11-27,BUY,45.19073867797852,0.7228201236869781,1,-0.0012
2021-11-29,SELL,50.53129196166992,0.14367367099339845,0,0.008316981812503378
2022-12-09,BUY,50.28516006469727,0.5968323674939511,1,-0.0012
2023-12-12,SELL,48.35250854492188,0.3234834623055668,0,-0.003529570511952039
2024-12-24,BUY,58.16690826416016,0.5931740370238867,1,-0.0012
