Date,action,close,proba,signal,net_ret
2006-10-10,BUY,6.6432719230651855,0.7488206489742186,1,0.0
2007-10-11,SELL,9.25002384185791,0.48457333509391626,0,-0.0026268194702226064
2008-10-10,BUY,5.5972185134887695,0.7036684120961896,1,-0.0012
2009-10-12,SELL,8.335301399230957,0.5100229277551743,0,0.002566335814058053
2010-10-25,BUY,8.922398567199707,0.5760881506173529,1,-0.0012
2011-10-27,SELL,9.780335426330566,0.5155924834856169,0,0.03039019753303749
2012-10-26,BUY,12.2207670211792,0.5747581854856785,1,-0.0012
2013-10-30,SELL,15.579580307006836,0.39165042247410803,0,-0.005852606366178036
2014-10-30,BUY,18.754169464111328,0.6479274286481784,1,-0.0012
2015-10-30,SELL,19.85078239440918,0.48732166690005624,0,0.007445985318339378
2016-11-02,BUY,24.632701873779297,0.6155409765160492,1,-0.0012
2017-11-03,SELL,31.292484283447266,0.4239336101078852,0,0.01741730132886197
