Date,action,close,proba,signal,net_ret
2006-10-10,BUY,40.06608200073242,0.5503752623692433,1,0.0
2007-10-11,SELL,48.71971130371094,0.5169769381042584,0,-0.018805682013454582
2008-10-10,BUY,17.76724624633789,0.7508190426255993,1,-0.0012
2009-10-12,SELL,29.91706085205078,0.32906835330212714,0,0.005574882497028401
2010-10-12,BUY,45.70436096191406,0.6184073113325638,1,-0.0012
2011-10-11,SELL,46.522159576416016,0.5384418239925175,0,0.0033465070123009713
2012-10-10,BUY,53.243953704833984,0.5918217286308116,1,-0.0012
2013-10-14,SELL,85.60813903808594,0.37264553245777404,0,0.0004576117981896844
2014-10-15,BUY,80.93879699707031,0.6177791730146632,1,-0.0012
2015-10-15,SELL,86.430908203125,0.4373549227725086,0,0.01218495851298882
2016-10-17,BUY,97.46559143066406,0.5753572198208082,1,-0.0012
2017-10-17,SELL,160.4171905517578,0.35302287627200696,0,-0.0019509740992350799
2018-10-17,BUY,150.59219360351562,0.6614798534472043,1,-0.0012
2019-10-18,SELL,151.99148559570312,0.47851879475033476,0,0.015811322912306115
2020-11-11,BUY,222.08865356445312,0.5527695938536921,1,-0.0012
2021-11-11,SELL,307.2728576660156,0.18616597505662888,0,-0.012655033979549722
2022-12-07,BUY,242.7664794921875,0.6322347972407332,1,-0.0012
2023-12-08,SELL,270.0094909667969,0.2653638871138184,0,0.001102844695170503
2024-12-11,BUY,293.67352294921875,0.6633642614618044,1,-0.0012
